proprietaire_nom,proprietaire_adresse
9175-8649 QUEBEC INC. ,"1835 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N8, A/S ROBERT JACQUES"
KCINA 1 INC. ,"5-2625 RUE MAISONNEUVE, SHERBROOKE (QC), J1J2B2"
9524-1964 QUEBEC INC. ,"41 RUE KING O, SHERBROOKE (QC), J1H1P1"
IMMEUBLES LJ SOLUTIONS INC. ,"370 10E AVENUE S, SHERBROOKE (QC), J1G2R7"
9361-9450 QUEBEC INC. (QUARTIER CONC.) ,"1934 RUE PIERRE-LOUIS-LE TOURNEUX, BELOEIL (QC), J3G 6S8"
IMMOCARRE INC. ,"340 RUE ISLAND, SHERBROOKE (QC), J1H3V9, A/S REMY BOUCHER"
DU BROOK INC. ,"3-84 RUE MORRIS, SHERBROOKE (QC), J1J2L9, A/S MARIA SZEKELY"
9503-7446 QUEBEC INC. ,"420-1980 RUE SHERBROOKE O, MONTREAL (QC), H3H 1E8"
9318-5510 QUEBEC INC. ,"366 RUE KENNEDY N, SHERBROOKE (QC), J1E2E7"
9479-2991 QUEBEC INC. ,"619 BOUL D'YOUVILLE, CHATEAUGUAY (QC), J6J 5W6"
9440-1569 QUEBEC INC ,"6470 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N1H3"
IMMEUBLES MARYMOUNT INC. ,"204-1970 RUE DU MONTAGNAIS, SHERBROOKE (QC), J1K2X9"
9515-2815 QUEBEC INC. ,"85 CH TALBOT, STOKE (QC), J0B3G0, A/S STEPHEN COTE"
COOP. D'HABITAT. DES CANTONS DE L'EST ,"548 RUE DUFFERIN, SHERBROOKE (QC), J1H4N1"
SOCIETE FULLOCINQ S.E.N.C. ,"1-2525 RUE DE LA LAURENTIE, SHERBROOKE (QC), J1J1L3"
9529-0888 QUEBEC INC. ,"1657 RUE MAGRITTE, SHERBROOKE (QC), J1N0A4, A/S MAXIM SIMARD"
FIDUCIE LUCE LORTIE ,"2653 RUE DES CHENES, SHERBROOKE (QC), J1L1T4"
9432-5156 QUEBEC INC. ,"152 CH DES IRIS, COOKSHIRE-EATON (QC), J0B 2A0, A/S MARIO ST-LAURENT"
SOCIETE GROUPE VILLEMAIRE ,"903-2103 RUE PROSPECT, SHERBROOKE (QC), J1J4P6, A/S CLAUDE VILLEMAIRE"
LES IMMEUBLES CEDRUS INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3"
9370-1209 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
GESTION GIBLAGE INC. ,"327 RUE ROGER-BOISVERT, SHERBROOKE (QC), J1G4T2, A/S JEAN-MICHEL ROY"
9380-7717 QUEBEC INC. ,"1-230 10E AVENUE S, SHERBROOKE (QC), J1G2R5, A/S JEAN-FRANCOIS PAGE"
LES IMMEUBLES G.C.I. INC. ,"4005 CH ORR, COOKSHIRE-EATON (QC), J0B 1M0"
GESTION FRANCOIS THIBODEAU INC. ,"2609 CHEMIN DE SAINTE-CATHERINE, SHERBROOKE (QC), J1N0C4"
JAVDAN IMMOBILIER INC. ,"668  BOUL LAVIGERIE, SHERBROOKE (QC), J1G 2X2"
GESTION ERIC LABRECQUE INC. ,"376 AVENUE DU PARC, SHERBROOKE (QC), J1N3M9"
9458-3473 QUEBEC INC. ,"1488 RUE ALICE-CAMPBELL, SHERBROOKE (QC), J1L0K3, A/S SAMUEL ROUSSEAU"
IMMEUBLE TABU II INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
MYE CAPITAL INC. ,"4-730 AV BLOOMFIELD, OUTREMONT (QC), H2V 3S3"
2414-7324 QUEBEC INC. ,"130 CH DESFOSSES, CLEVELAND (QC), J0B 2H0, A/S MARIO JACQUES"
IMMEUBLES DTMC INC. ,"875 AV DE DIEPPE, SAINT-HYACINTHE (QC), J2S 7A1, A/S SYLVAIN DESROCHERS"
"LA DILIGENCE, COOP SOLIDARITE HABITATION ","004-80 RUE SAINT-LAMBERT, SHERBROOKE (QC), J1C0N8"
GESTION-LPSA S.E.N.C. ,"740 RUE CRAIG, RICHMOND (QC), J0B 2H0"
9478-4261 QUEBEC INC. ,"2007 RUE DES CIMES, SHERBROOKE (QC), J1E4M1"
COOP. D'HABITATION DE BROMP. ,"3-350 RUE SAINT-LAMBERT, SHERBROOKE (QC), J1C0N9"
GIRARD VILLENEUVE & ASSOCIES INC. ,"2 RUE SAINT-JOSEPH, SHERBROOKE (QC), J1C0P6"
9090-3816 QUEBEC INC. ,"82 RUE BOURASSA, SHERBROOKE (QC), J1C0M1, A/S REJEAN THERRIEN"
9105-4866 QUEBEC INC. ,"241 CHEMIN DE NOTRE-DAME-DES-MERES, SHERBROOKE (QC), J1C0A8, A/S MICHEL PINARD"
LE MONTAGNAIS LTEE ,"809 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R9"
9460-1192 QUEBEC INC. ,"102-4865 RUE JEAN-TALON O, MONTREAL (QC), H4P 1W7, A/S NOAM PEREZ"
9347-4682 QUEBEC INC. ,"901 RUE WESTMOUNT, AYER'S CLIFF (QC), J0B 1C0"
GESTION ROSAIRE COTE INC. ,"263 RUE PRINCIPALE E, MARTINVILLE (QC), J0B 2A0"
9152-9974 QUEBEC INC. ,"2640 RUE LE MOYNE, SHERBROOKE (QC), J1K1S7, A/S ELIAS MANOUSAKAS"
9295-3397 QUEBEC INC. ,"2365  CH DU MOULIN, SAINT-DENIS-DE-BROMPTON (QC), J0B2P0, A/S DOMINIC BOUFFARD"
9393-4503 QUEBEC INC. ,"1688 RUE DENAULT, SHERBROOKE (QC), J1K1E6, A/S WENWEI WANG"
215 BELLEVUE APARTMENTS LIMITED ,"2000-77 BLOOR ST W, TORONTO (ON), M5S 1M2"
RESIDENCE LE VU INC. ,"137-2400 RUE DES NATIONS, SAINT-LAURENT (QC), H4R 3G4"
JCFS IMMOBILIER INC. ,"2605 RUE ARGENSON, SHERBROOKE (QC), J1J1P5, A/S SARAH HASHMI"
9397-2032 QUEBEC INC. ,"CP 49022 CSP DE LA COLLINE, QUEBEC (QC), G1X 4V2"
9197-3156 QUEBEC INC. ,"208-1745 RUE SHERBROOKE, MAGOG (QC), J1X 2T5, A/S JEAN-GUY VEILLEUX"
GESTION SJNP INC. ,"2190 CH DESCHESNE, SAINT-DENIS-DE-BROMPTON (QC), J0B 2P0, A/S NICOLAS POULIOT"
ESTRIMMOBILIER INC. ,"133 RUE RIOUX, SHERBROOKE (QC), J1J2W6"
9452-2786 QUEBEC INC. ,"A-1760 RUE PROSPECT, SHERBROOKE (QC), J1J3Y9, A/S MICHEL GALLANT"
9336-4230 QUEBEC INC. ,"825 CHEMIN MOULTON HILL, SHERBROOKE (QC), J1G5L3, A/S MYRIAM PARE"
9423-7633 QUEBEC INC. ,"203-7236 RUE WAVERLY, MONTREAL (QC), H2R 0C2"
9423-7682 QUEBEC INC. ,"203-7236 RUE WAVERLY, MONTREAL (QC), H2R 0C2"
9251-3654 QUEBEC INC. ,"C.P. 25031 CSP PLZ ROCK FOREST, SHERBROOKE (QC), J1N 0N1, A/S CLAUDE VEILLEUX"
9413-7502 QUEBEC INC. ,"2909 RUE HARPIN, SHERBROOKE (QC), J1G3P3, A/S ALEX BEDARD"
9366-6733 QUEBEC INC. ,"485 RUE DE LA GRANDE-ALLÉE, VERDUN (QC), H3E 1Y4"
9492-3570 QUEBEC INC. ,"101-1320 RUE GAY-LUSSAC, BOUCHERVILLE (QC), J4B7G4"
HAN-LOGEMENT ,"1691 CH DE LA RIVIERE-AUX-CERISES, MAGOG (QC), J1X 3W3"
9380-5836 QUEBEC INC. ,"1657 RUE MAGRITTE, SHERBROOKE (QC), J1N0A4"
9477-4627 QUEBEC INC. ,"70 RUE DES MALARDS, SAINT-DENIS-DE-BROMPTON (QC), J0B 2P0, A/S LUDOVIC THIBAULT"
GESTION MARC-ANDRE GRATTON INC. ,"709 CHEMIN DU 2E RANG, SHERBROOKE (QC), J1C0B2"
IMMEUBLE BERARD-LAGANIERE 1 INC. ,"2720 CHEMIN ALFRED-CHAMPIGNY, SHERBROOKE (QC), J1H5H2"
GROUPE FPH INC. ,"377 RUE KING E, SHERBROOKE (QC), J1G1B4"
9321-3783 QUEBEC INC. ,"17 CH DU 10E-RANG, SAINT-VENANT-DE-PAQUETTE (QC), J0B 1S0, A/S ALEXANDRE HOULE"
9321-3775 QUEBEC INC. ,"17 CH DU 10E-RANG, SAINT-VENANT-DE-PAQUETTE (QC), J0B 1S0, A/S REJEAN HOULE"
9463-3146 QUEBEC INC. ,"104-268 CHEMIN GODIN, SHERBROOKE (QC), J1R0S6, A/S FRANCIS LAFLEUR"
IMMOMED INC. ,"2581 RUE HONORE-DE BALZAC, SHERBROOKE (QC), J1L0B2"
9394-8834 QUEBEC INC. ,"470 RUE DE MONTREAL, SHERBROOKE (QC), J1H1E5, A/S OLIVIER HOMANS"
9435-1137 QUEBEC INC. ,"1 RUE GASTON, VICTORIAVILLE (QC), G6R 1M4"
SOC. COMM. EDIFICE LE RIVERAIN PH.I ENR ,"1835 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N8"
LOGEMENTS BLPH INC ,"5050 RUE DE LA RANDONNEE, SHERBROOKE (QC), J1N0N8"
IMMEUBLES VIEUX-NORD INC. ,"142 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3P9"
9455-1462 QUEBEC INC. ,"7067 RUE DE LA ROCHE, MONTREAL (QC), H2S 2E6, A/S JULIEN GEREMIE"
2749-4277 QUEBEC INC. ,"1530 RUE GALT O, SHERBROOKE (QC), J1H2B4"
LA SOCIETE EN COMMANDITE LE RIVIERA ENR ,"1835 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N8"
9307-3930 QUEBEC INC. ,"617-2940 RUE DES CHENES, SHERBROOKE (QC), J1L2Z3"
9428-8719 QUEBEC INC. ,"3440 RUE JEAN-PAUL-SARTRE, LAVAL (QC), H7P 0B9, A/S ANTOINE DORAY"
9392-5642 QUEBEC INC. ,"1090 RUE DE LA FALAISE, SHERBROOKE (QC), J1N2M9"
GESTION PLEXOS INC. ,"4543 RUE DU CALEMBOUR, SHERBROOKE (QC), J1N3V3"
GESTION SMTS INC. ,"6755 CHEMIN BLANCHETTE, SHERBROOKE (QC), J1N0C7"
LOCATION JMDL INC. ,"1080 RUE DE HAMBOURG, LAVAL (QC), H7P 3X7"
9368-6525 QUEBEC INC. ,"4718 RUE GEORGE-V, SHERBROOKE (QC), J1N3Y4, A/S DOMINIQUE MASSICOTTE"
9148-3016 QUEBEC INC. ,"1270 RUE GALT O, SHERBROOKE (QC), J1H2A7, A/S CHRISTIAN MUNGER"
LEVI CAPITAL INC. ,"1094 RUE BERUBE, SHERBROOKE (QC), J1N1B6"
LES IMMEUBLES LA SUITE INC. ,"104-701 CHEMIN LOUIS-CAYER, SHERBROOKE (QC), J1R0H7"
99 RUE ALEXANDRE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
LES IMMEUBLES APP INC. ,"3775 RUE LA VERENDRYE, SHERBROOKE (QC), J1L1W8"
9413-4004 QUEBEC INC. ,"245 RUE CORMIER, DRUMMONDVILLE (QC), J2C 2N3"
LES INVESTISSEMENTS IMMOBILIERS PM INC. ,"270 4E RANG, TINGWICK (QC), J0A 1L0, A/S PATRICK SIMONEAU"
LES IMMEUBLES B.B.D.M. INC. ,"41 RUE KING O, SHERBROOKE (QC), J1H1P1, A/S MARC BEZEAU"
9424-2914 QUEBEC INC. ,"1915 RUE GRIME, SHERBROOKE (QC), J1J1E8, A/S JEROME LEBEL"
9322-0465 QUEBEC INC. ,"41 RUE KING O, SHERBROOKE (QC), J1H1P1"
LES PLACEMENTS MONDIAL 2005 INC. ,"3815 RUE ROUSSEAU, SHERBROOKE (QC), J1L2B6, A/S GILLES CHIASSON"
GESTION IMMOBILIERE MAYER VLACHOS SNC ,"1565 RUE DU DOMINION, SHERBROOKE (QC), J1J1N5"
ENTREPRISES S. DUCHESNE INC. ,"120 CH KING, COWANSVILLE (QC), J2K 3G8"
9440-1668 QUEBEC INC. ,"2900 AV LOUIS-DANTIN, MONTREAL (QC), H3M 1E6"
HANDI-RESSOURCES ,"202-977 RUE GALT O, SHERBROOKE (QC), J1H1Z6, A/S JOSEE FONTAINE"
9338-4634 QUEBEC INC. ,"168 RUE DU DIAMANT, GRANBY (QC), J2H 2S6"
GESTION TMS INC. ,"535 RUE JOSEPH, SAINT-DENIS-DE-BROMPTON (QC), J0B 2P0, A/S BENOIT LEFEBVRE"
9161-5369 QUEBEC INC. ,"1835 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J4N8, A/S ROBERT JACQUES"
GESTION GLOBALE BOURQUE INC. ,"2296 CH DU PARC, ORFORD (QC), J1X 7A2, A/S DAVID BOURQUE"
COOP. HAB. LE RADOUB SHERBR. ,"4-580 RUE DE VIMY, SHERBROOKE (QC), J1J3N3, A/S JOSEE GOUDREAU"
9349-6529 QUEBEC INC. ,"1565 RUE DU DOMINION, SHERBROOKE (QC), J1J1N5, A/S KUMAR MAYER"
GESTION MALI-MICHEL INC. ,"154 RUE BELLEVUE, SHERBROOKE (QC), J1J2Y4, A/S MICHEL FONTAINE"
9045-3580 QUEBEC INC. ,"5726 RUE WAVERLY, MONTREAL (QC), H2T 2Y1, A/S FRANCOIS DULUDE"
9450-5906 QUEBEC INC. ,"5850 RUE SOUBIROUS, LAVAL (QC), H7H 2R9, A/S SINA MOETAKEF"
9046-2839 QUEBEC INC. ,"2570 RUE RAIMBAULT, SHERBROOKE (QC), J1J2J6, A/S MICHEL HEVEY"
IMMEUBLES ZXM INC. ,"921 RUE HENRI-IV, SHERBROOKE (QC), J1N4G3"
9436-6804 QUEBEC INC. ,"8260 AV HENRI-JULIEN, MONTREAL (QC), H2P 2J2, A/S AUGUSTIN HEBERT"
YANOR INC. ,"866 BOULEVARD QUEEN-VICTORIA, SHERBROOKE (QC), J1J3T8, A/S MARIE-JO BRIEN"
LES RESID. ET APPART. LE MONASTERE INC. ,"871 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3S1"
9422-0464 QUEBEC INC. ,"156 RUE ANDRE, MAGOG (QC), J1X 0J8, A/S SUZELLE LABONTÉ & FRANÇOIS DION"
RABEAU PROPERTY GROUP INC. ,"126 DEWHURST BLVD, TORONTO (ON), M4J 3J6"
CONSTRUIBEC INC. ,"126-3000 12E AVENUE N, SHERBROOKE (QC), J1H5H3"
COOP. D'HABITAT. DU GRAND PORTAGE SHERB. ,"1265 RUE COUSINEAU, SHERBROOKE (QC), J1J3T2"
COOP D'HABITATION DES CANTONS DE L'EST ,"548 RUE DUFFERIN, SHERBROOKE (QC), J1H4N1"
BASKIIN IMMOBILIER INC. ,"1410 RUE MARINI, SHERBROOKE (QC), J1N4K4"
11926926 CANADA INC. ,"576 CH LABONTE, COOKSHIRE-EATON (QC), J0B 1M0"
IMMOBILIER MAX & ROX INC. ,"700-8000 BOUL LANGELIER, SAINT-LEONARD (QC), H1P 3K2"
109006 CANADA INC. ,"C.P. 23503 CSP CP DES VILLAS, BELOEIL (QC), J3G6M2, A/S DANIEL BELANGER"
9433-8233 QUEBEC INC. ,"3905 RUE LESAGE, SHERBROOKE (QC), J1L2Z9"
9410-7893 QUEBEC INC. ,"208-6000 BOUL METROPOLITAIN E, SAINT-LEONARD (QC), H1S 1B1"
HAUS CONSTRUCTION DESIGN INC. ,"377 RUE KING E, SHERBROOKE (QC), J1G1B4"
9229-9593 QUEBEC INC. ,"60 ROUTE 255, WOTTON (QC), J0A 1N0"
9428-3967 QUEBEC INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2, A/S MARC-ANTOINE VEZINA"
GESTION PELOQUIN INC. ,"6598 RUE BERTRAND-FABI, SHERBROOKE (QC), J1N1C2"
GESTION AMGR INC. ,"621 RUE LEFRANCOIS, ROSEMERE (QC), J7A 4R5, A/S ROY RIZK"
GOSFORD INVESTISSEMENT INC. ,"761 RUE ANDRIEN, GREENFIELD PARK (QC), J4V 3L7"
9423-7799 QUEBEC INC. ,"3536 RUE KING E, SHERBROOKE (QC), J1G5J3, A/S GEORGES BOU-CHAAYA"
LES APPARTEMENTS CARRE BELVEDERE INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
9436-2928 QUEBEC INC. ,"545 RUE BORDELEAU, MAGOG (QC), J1X 0M9, A/S MARTIN BOULE"
9411-8189 QUEBEC INC. ,"7735 CHEMIN DE SAINT-ELIE, SHERBROOKE (QC), J1R0C4, A/S JEAN-SEBASTIEN DUBOIS"
INFORMATIQUE INFOQUICK INC. ,"761 RUE ANDRIEN, GREENFIELD PARK (QC), J4V 3L7"
SOCIETE IMMOBILIERE NPD INC. ,"668 BOULEVARD LAVIGERIE, SHERBROOKE (QC), J1G2X2"
9337-3660 QUEBEC INC. ,"82 RUE ELIZABETH, SOREL-TRACY (QC), J3P 4G5"
COOP. D'HABITATION DE LA MONTAGNE ,"22-1455 RUE DE KINGSTON, SHERBROOKE (QC), J1H3T2"
BISMUTH IMMOBILIER INC. ,"1089 BOUL SAINT-JOSEPH, LACHINE (QC), H8S 2M2"
9154-2225 QUEBEC INC. ,"1950 RUE MONDOR, SHERBROOKE (QC), J1N0S5, A/S NANCY CORRIGAN"
LES APPARTEMENTS BELLEVUE INC. ,"6670 BOUL MONK, MONTREAL (QC), H4E 3J1, A/S AVIA PINCHIAROLI"
SMART-CEB SERVICE CONSEIL INC. ,"52 RUE DU GLENBOW, GATINEAU (QC), J9J 0Z2"
IMMOBILIER SVL INC. ,"463 RUE LEGENDRE, REPENTIGNY (QC), J6A6A4"
12355981 CANADA INC. ,"CP 49022 CSP DE LA COLLINE, QUEBEC (QC), G1X 4V2, A/S FREDERICK TREMBLAY"
9435-4263 QUEBEC INC. ,"353 RUE DES AULNES, SHERBROOKE (QC), J1G4S1, A/S STEPHANE TREMBLAY"
9357-3012 QUEBEC INC. ,"353 RUE DES AULNES, SHERBROOKE (QC), J1G4S1, A/S STEPHANE TREMBLAY"
COOP DE SOLIDARITE L'AUTRE-TOIT ,"57 RUE RICHMOND, SHERBROOKE (QC), J1H3V7, A/S MYLENE BERUBE"
IMMOPAMM INC. ,"68 RUE DE L'AQUILON, ORFORD (QC), J1X 6Y8, A/S PATRICK LAPLANTE"
140181 CANADA LTEE IN TRUST ,"1 69E AVENUE, CHOMEDEY-LAVAL (QC), H7V 2N5, A/S MOHAMED BADR"
9386-5624 QUEBEC INC. ,"6821 RUE DES FLAMANTS, TERREBONNE (QC), J7M 1G7, A/S PATRICK SOBODKER"
RESIDENCES ASCOT ,"1160 TERRASSE TURCOTTE, TROIS-RIVIERES (QC), G9A 5C6, A/S GHISLAIN AUBIN"
9377-0964 QUEBEC INC. ,"1033 RUE MEUNIER, SAINT-JEAN-SUR-RICHELIEU (QC), J3A 1E1"
9422-3625 QUEBEC INC. ,"914 RUE LAURIER, BELOEIL (QC), J3G 4K9"
9504-1372 QUEBEC INC. ,"3207 CH SAINTE-FOY CP 49022, QUEBEC (QC), G1X 4V2"
LE 1890 DES GRANDS-MONTS INC. ,"101-1320 RUE GAY-LUSSAC, BOUCHERVILLE (QC), J4B 7G4, A/S LOUIS-PHILIPPE POISSON"
9099-9269 QUEBEC INC. ,"268 RUE KING O, SHERBROOKE (QC), J1H1R1, A/S SYLVAIN BROCHU"
9464-5736 QUEBEC INC. ,"608 RUE MARIE-ANNE-TROTTIER, TERREBONNE (QC), J6V 1J5"
MS FINANCE INC. ,"463 RUE LEGENDRE, REPENTIGNY (QC), J6A6A4"
9520-0812 QUEBEC INC. ,"138 7E AV, LACHINE (QC), H8S 2Z3"
9367-1220 QUEBEC INC. ,"138 7E AV, LACHINE (QC), H8S 2Z3"
CONCEPT HARVEY ROURKE INC. ,"20 RUE PICARDY, BAIE-D'URFE (QC), H9X 3G2"
9415-8052 QUEBEC INC. ,"1551 CH DE LA BELLE-RIVIERE, SAINTE-JULIE (QC), J3E 1Y2"
9377-9510 QUEBEC INC. ,"CP 63175 CSP PL DU COMMERCE, VERDUN (QC), H3E 1V6"
GESTION IMMOBILIERE I.D. INC. ,"6694 CHEMIN BLANCHETTE, SHERBROOKE (QC), J1N0C7, A/S ISABELLE BERGERON"
INVESTISSEMENTS IMMOBILIERS PB INC. ,"229-392 AV DORVAL, DORVAL (QC), H9S 3H7, A/S LOUIS PLANTE"
COOP. D'HABITATION DES GRANDES FAMILLES ,"00-900 RUE DE L' ANCIENNE-CARRIERE, SHERBROOKE (QC), J1H0G1"
LES IMMEUBLES DELAFONTAINE INC. ,"18 RUE JOURDAIN, PORT-CARTIER (QC), G5B 2K6"
COOP DE SOLIDARITE L'HABITATION HAUBANS ,"104-1357 RUE DE COURCELETTE, SHERBROOKE (QC), J1H5X4, A/S SECRETAIRE-TRESORIERE"
9512-4665 QUEBEC INC. ,"955 RUE DE LISIEUX, SHERBROOKE (QC), J1K2A5, A/S SIMON JEAN"
GESTION BASS INC. ,"8201 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2"
GROUPE I2LP INC. ,"6 RUE OLIER, SAINT-BASILE-LE-GRAND (QC), J3N 1L6"
9515-4670 QUEBEC INC. ,"1439 RUE BELIVEAU, SHERBROOKE (QC), J1K2R7, A/S FÉLIX TRÉPANIER"
9512-3279 QUEBEC INC. ,"41 RUE KING O, SHERBROOKE (QC), J1H1P1"
EQUATIO MARKETING ET EXPORTATION INC. ,"79 RUE BRYANT, SHERBROOKE (QC), J1J3E5, A/S JEAN-SEBASTIEN CYR"
IMMO BO INC. ,"4930 RUE DE LA RANDONNEE, SHERBROOKE (QC), J1N0N8"
LA GRANDE VIE COOP SOLIDARITE HABITATION ,"100-1360 RUE DE COURCELETTE, SHERBROOKE (QC), J1H3Y5, A/S MICHEL L'ESPERANCE"
TURQUOISE PROPRIETES INC. ,"PH3-3455 RUE AYLMER, MONTREAL (QC), H2X 2B5"
INVESTISSEMENTS LECLERC INC. ,"217 CH DU CHENE-ROUGE, CANTON-DE-HATLEY (QC), J0B 2C0, A/S BENOIT LECLERC"
9497-2270 QUEBEC INC. ,"1094 RUE BERUBE, SHERBROOKE (QC), J1N1B6"
9415-5769 QUEBEC INC. ,"48 CH COUTURE, COOKSHIRE-EATON (QC), J0B 2A0"
9309-5529 QUEBEC INC. ,"1488 RUE DE L'ANSE-DU-CAP-ROUGE, QUÉBEC (QC), G1Y 1R3, A/S REMI BOUCHARD"
GESTION 223 FABI INC. ,"7067 RUE DE LA ROCHE, MONTREAL (QC), H2S 2E6"
PRODUCTION ANDREE MENARD INC. ,"2-1094 RUE PERRY, SHERBROOKE (QC), J1H3Z4"
COOP. D'HABITATION DU PALMIER DECONNECTE ,"1-1172 RUE CRAIG, SHERBROOKE (QC), J1H4H3"
LES IMMEUBLES ASM INC. ,"1055 RUE LAROCQUE, SHERBROOKE (QC), J1H4R7"
GESTION ANANSE INC. ,"4-3745 RUE MASSON, MONTRÉAL (QC), H1X 1S7"
FERME PLEIN VENT S.E.N.C. ,"1449 RUE SAINT-PATRICE E, MAGOG (QC), J1X 1V7"
GESTION CG S.E.N.C. ,"38 CH DES COTE, MARTINVILLE (QC), J0B 2A0"
THERIAULT IMMOBILIER INC. ,"31 RUE DU SOLEIL, SAINT-HIPPOLYTE (QC), J8A 3R4, A/S ANNIE THERIAULT"
9464-8623 QUEBEC INC. ,"2900 AV LOUIS-DANTIN, MONTREAL (QC), H3M 1E6"
405 RUE LEONIDAS INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
STEVE BACHAND IMMOBILIER INC. ,"2194 RUE KING O, SHERBROOKE (QC), J1J2E8"
LE 1240 LAROCQUE INC. ,"101-1320 RUE GAY-LUSSAC, BOUCHERVILLE (QC), J4B 7G4"
COOP. D'HABITAT. (LA RELANCE) ,"2-380 RUE DES JONQUILLES, SHERBROOKE (QC), J1E3A1"
LUSCAM DISTRIBUTION INC. ,"893 RUE KING O, SHERBROOKE (QC), J1H1R9, A/S GUY CAMPAGNA"
9465-9018 QUEBEC INC. ,"875 RUE KING O, SHERBROOKE (QC), J1H1R9"
COOP. D'HABITAT. ENFANTS TER. SHERBROOKE ,"857 RUE DE L' ESPLANADE, SHERBROOKE (QC), J1H1S7"
G1-BLOC INC. ,"225 RUE DENIS, WATERVILLE (QC), J0B 3H0, A/S ALAIN DESROSIERS"
GESTION PN TOUSSAINT INC. ,"172 CHEMIN GEORGES-VALLIERES, SHERBROOKE (QC), J1R0R1"
9389-3436 QUEBEC INC. ,"3844 RUE MANCE, LAVAL (QC), H7P 4A1, A/S RAMI SAINTUS"
LES IMMEUBLES WG INC. ,"802-9000 BOUL LEDUC, BROSSARD (QC), J4Y 0E6"
LOGEWELL INC. ,"1557 RUE KING E, SHERBROOKE (QC), J1G1E8"
9409-2863 QUEBEC INC. ,"1662 BOULEVARD DU MI-VALLON, SHERBROOKE (QC), J1N4G8"
LA CORDEE TRANSIT DE JOUR INC ,"305 RUE DUFFERIN, SHERBROOKE (QC), J1H4M5, A/S SOLANGE CHAMPIGNY"
9456-5314 QUEBEC INC. ,"244 RUE LOUBIAS, SAINT-JEAN-SUR-RICHELIEU (QC), J2X 0A7"
LESSARD PELLERIN IMMOBILIER INC. ,"712 RUE DE CHOMEDEY, SHERBROOKE (QC), J1N0Y7"
COOP. D'HABITAT. DU POSSIBLE ,"CP 1151 SUCC PL DE LA CITE, SHERBROOKE (QC), J1H 5L5, A/S NICOLE LAMBERT"
IMMOBILIER DOOB-GILLESPIE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
56 RUE CAMIRAND INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9379-1473 QUEBEC INC. ,"157 RUE DES PERCE-NEIGE, OTTERBURN PARK (QC), J3H 5Y4"
231 RUE ALEXANDRE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9403-5029 QUEBEC INC. ,"351 RUE DE L' ONTARIO, SHERBROOKE (QC), J1J3R3"
SOC DE PLACEMENT STELIOS INC. ,"1197 RUE MCCREA, SHERBROOKE (QC), J1H0B1"
151 RUE ALEXANDRE INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
9333-5628 QUEBEC INC. ,"1053 RUE DES TOURTERELLES, SHERBROOKE (QC), J1R0M5, A/S CARL ST-AMANT"
IKIGAI IMMOBILIER INC. ,"401-268 RUE ABERDEEN, SHERBROOKE (QC), J1H1W5"
170 ALEXANDRE INC. ,"637 AV MURRAY HILL, WESTMOUNT (QC), H3Y2W8, A/S JORDAN FLINKER"
9271-7412 QUEBEC INC. ,"3937 CH SAINTE-THÉRÈSE, CARIGNAN (QC), J3L 7W4, A/S GONZALO ARGENIS NUNEZ BARRETO"
GESTION GRAND INTERNATIONAL INC. ,"3050 BOUL BECANCOUR, BECANCOUR (QC), G9H 3V9, A/S LIONEL CUGGIA"
9491-8000 QUEBEC INC. ,"43 RUE ALEXANDRE, SHERBROOKE (QC), J1H4S5, A/S VIRGINIE ROY"
9455-7147 QUEBEC INC. ,"2877 RUE JEAN-CHARLES-BONENFANT, BOISBRIAND (QC), J7H 1P1"
9474-4810 QUEBEC INC. ,"204 RUE JOSEPH-ROBERTSON, SHERBROOKE (QC), J1L2X3"
9489-3039 QUEBEC INC. ,"1567 RUE KING O, SHERBROOKE (QC), J1J2C6"
SOCIETE IMMOBILIERE SBFJ INC. ,"1090 RUE DE LA FALAISE, SHERBROOKE (QC), J1N2M9"
